Rank,Competitor,DOB,Nat,Score,EventList,athletes_url
91,Rika KASEDA,02 MAR 1999,JPN,1241,Marathon,https://www.worldathletics.org/athletes/japan/rika-kaseda-14719677
92,Sofiia YAREMCHUK,03 JUN 1994,ITA,1241,Marathon,https://www.worldathletics.org/athletes/italy/sofiia-yaremchuk-14535089
93,Aleksandra LISOWSKA,12 DEC 1990,POL,1240,Marathon,https://www.worldathletics.org/athletes/poland/aleksandra-lisowska-14336154
94,Susanna SULLIVAN,13 MAY 1990,USA,1239,Marathon,https://www.worldathletics.org/athletes/united-states/susanna-sullivan-14385840
95,Winfridah MOSETI,12 NOV 1996,KEN,1237,Marathon,https://www.worldathletics.org/athletes/kenya/winfridah-moseti-14704937
96,Urge DIRO,16 JAN 1994,ETH,1237,Marathon,https://www.worldathletics.org/athletes/ethiopia/urge-diro-14723031
97,Lisa WEIGHTMAN,16 JAN 1979,AUS,1237,Marathon,https://www.worldathletics.org/athletes/australia/lisa-weightman-14271094
98,Genevieve GREGSON,04 AUG 1989,AUS,1236,Marathon,https://www.worldathletics.org/athletes/australia/genevieve-gregson-14271807
99,Etagegne WOLDU,10 MAY 1996,ETH,1235,Marathon,https://www.worldathletics.org/athletes/ethiopia/etagegne-woldu-014593389
100,Beatrice CHEPTOO,01 JUN 1993,KEN,1234,Marathon,https://www.worldathletics.org/athletes/kenya/beatrice-cheptoo-14985471
101,Letebrhan Haylay GEBRESLASEA,29 OCT 1990,ETH,1234,Marathon,https://www.worldathletics.org/athletes/ethiopia/letebrhan-haylay-gebreslasea-014484238
101,Magdalyne MASAI,21 NOV 1993,KEN,1234,Marathon,https://www.worldathletics.org/athletes/kenya/magdalyne-masai-014472843
103,Sara VAUGHN,16 MAY 1986,USA,1234,Marathon,https://www.worldathletics.org/athletes/united-states/sara-vaughn-014325833
104,Vicoty CHEPNGENO,12 NOV 1993,KEN,1233,Marathon [Half Marathon],https://www.worldathletics.org/athletes/kenya/vicoty-chepngeno-14377846
105,Bone CHELUKE,11 DEC 1998,ETH,1233,Marathon,https://www.worldathletics.org/athletes/ethiopia/bone-cheluke-14800829
106,Azmera GEBRU,31 OCT 1995,ETH,1232,Marathon,https://www.worldathletics.org/athletes/ethiopia/azmera-gebru-014428518
107,Sharon CHELIMO,27 JUL 1994,KEN,1232,Marathon,https://www.worldathletics.org/athletes/kenya/sharon-chelimo-014813645
108,Gladys CHESIR,20 FEB 1993,KEN,1230,Marathon,https://www.worldathletics.org/athletes/kenya/gladys-chesir-014431129
109,Lindsay FLANAGAN,24 JAN 1991,USA,1230,Marathon,https://www.worldathletics.org/athletes/united-states/lindsay-flanagan-14334774
109,Yuna DAITO,27 OCT 1997,JPN,1230,Marathon,https://www.worldathletics.org/athletes/japan/yuna-daito-014851995
111,Buze DIRIBA,09 FEB 1994,ETH,1228,Marathon [Half Marathon],https://www.worldathletics.org/athletes/ethiopia/buze-diriba-014464196
112,Joan KIPYATICH,15 SEP 1998,KEN,1226,Marathon,https://www.worldathletics.org/athletes/kenya/joan-kipyatich-14920330
113,Ruth CHEBITOK,26 DEC 1990,KEN,1225,Marathon,https://www.worldathletics.org/athletes/kenya/ruth-chebitok-014692800
114,Gutemi Shone IMANA,17 NOV 1991,ETH,1225,Marathon,https://www.worldathletics.org/athletes/ethiopia/gutemi-shone-imana-014515036
115,Chernet MISGANAW,12 SEP 1995,ETH,1223,Marathon,https://www.worldathletics.org/athletes/ethiopia/chernet-misganaw-14822331
116,Hawi FEYSA,01 FEB 1999,ETH,1222,Marathon [Half Marathon],https://www.worldathletics.org/athletes/ethiopia/hawi-feysa-014786742
117,Atalel ANMUT,1999,ETH,1221,Marathon,https://www.worldathletics.org/athletes/ethiopia/atalel-anmut-014896243
118,Marion KIBOR,27 SEP 1994,KEN,1220,Marathon,https://www.worldathletics.org/athletes/kenya/marion-kibor-014590771
119,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,1220,Marathon,https://www.worldathletics.org/athletes/kenya/viola-jelagat-kibiwot-014289100
120,Amid Fozya JEMAL,1998,ETH,1220,Marathon,https://www.worldathletics.org/athletes/ethiopia/amid-fozya-jemal-014811361
121,Gebeyanesh AYELE,01 MAY 1995,ETH,1220,Marathon,https://www.worldathletics.org/athletes/ethiopia/gebeyanesh-ayele-014672905
122,Sultan HAYDAR,23 JUN 1987,TUR,1219,Marathon [Half Marathon],https://www.worldathletics.org/athletes/turkey/sultan-haydar-14259831
123,Natsumi MATSUSHITA,22 JAN 1995,JPN,1219,Marathon,https://www.worldathletics.org/athletes/japan/natsumi-matsushita-014735098
124,Citlali CRISTIAN MOSCOTE,15 APR 1995,MEX,1219,Marathon,https://www.worldathletics.org/athletes/mexico/citlali-cristian-moscote-14756134
125,Veronica MAINA,08 AUG 1989,KEN,1219,Marathon,https://www.worldathletics.org/athletes/kenya/veronica-maina-014548763
126,Tsegaye MELESECH,1994,ETH,1218,Marathon,https://www.worldathletics.org/athletes/ethiopia/tsegaye-melesech-014611322
127,Jackline SAKILU,28 DEC 1986,TAN,1218,Marathon [Half Marathon],https://www.worldathletics.org/athletes/tanzania/jackline-sakilu-14302631
128,Matea PARLOV KOŠTRO,02 JUN 1992,CRO,1217,Marathon,https://www.worldathletics.org/athletes/croatia/matea-parlov-kostro-014329614
129,Rose HARVEY,25 AUG 1992,GBR,1216,Marathon,https://www.worldathletics.org/athletes/great-britain-ni/rose-harvey-14750322
130,Medina Deme ARMINO,22 OCT 1997,ETH,1216,Marathon,https://www.worldathletics.org/athletes/ethiopia/medina-deme-armino-014767711
131,Fantu ZEWUDE,26 SEP 1996,ETH,1214,Marathon,https://www.worldathletics.org/athletes/ethiopia/fantu-zewude-14764970
132,Aliphine Chepkerker TULIAMUK,05 APR 1989,USA,1213,Marathon,https://www.worldathletics.org/athletes/united-states/aliphine-chepkerker-tuliamuk-014289472
133,Charlotte PURDUE,10 JUN 1991,GBR,1212,Marathon [Half Marathon],https://www.worldathletics.org/athletes/great-britain-ni/charlotte-purdue-14276123
134,Rebecca CHEPTEGEI,22 FEB 1991,UGA,1211,Marathon,https://www.worldathletics.org/athletes/uganda/rebecca-cheptegei-14413309
135,Afera GODFAY,25 SEP 1991,ETH,1211,Marathon,https://www.worldathletics.org/athletes/ethiopia/afera-godfay-014413306
136,Malindi ELMORE,13 MAR 1980,CAN,1211,Marathon,https://www.worldathletics.org/athletes/canada/malindi-elmore-014268042
137,Melat Yisak KEJETA,27 SEP 1992,GER,1211,Marathon [Half Marathon],https://www.worldathletics.org/athletes/germany/melat-yisak-kejeta-14466358
138,Ayantu KUMELA,14 MAY 1996,ETH,1210,Marathon,https://www.worldathletics.org/athletes/ethiopia/ayantu-kumela-14917771
139,Isobel BATT-DOYLE,14 SEP 1995,AUS,1210,Marathon,https://www.worldathletics.org/athletes/australia/isobel-batt-doyle-14519260
140,Emily ARUSIO,1995,KEN,1210,Marathon,https://www.worldathletics.org/athletes/kenya/emily-arusio-014530676
141,Dalila ABDULKADIR,27 JUN 1998,BRN,1209,Marathon,https://www.worldathletics.org/athletes/bahrain/dalila-abdulkadir-014643416
142,Deborah SCHÖNEBORN,13 MAR 1994,GER,1208,Marathon,https://www.worldathletics.org/athletes/germany/deborah-schoneborn-014587891
142,Zhixuan LI,30 MAR 1996,CHN,1208,Marathon,https://www.worldathletics.org/athletes/pr-of-china/zhixuan-li-14376349
144,Florencia BORELLI,30 OCT 1992,ARG,1208,Marathon,https://www.worldathletics.org/athletes/argentina/florencia-borelli-14370115
145,Muluhabt TSEGA,22 DEC 1997,ETH,1206,Marathon,https://www.worldathletics.org/athletes/ethiopia/muluhabt-tsega-14593390
146,Gadise MULU,14 NOV 1997,ETH,1206,Marathon,https://www.worldathletics.org/athletes/ethiopia/gadise-mulu-014840781
147,Dakotah LINDWURM,01 MAY 1995,USA,1206,Marathon,https://www.worldathletics.org/athletes/united-states/dakotah-lindwurm-14644196
148,Sinead DIVER,17 FEB 1977,AUS,1205,Marathon,https://www.worldathletics.org/athletes/australia/sinead-diver-14490253
148,Muliye DEKEBO,13 MAR 1998,ETH,1205,Marathon,https://www.worldathletics.org/athletes/ethiopia/muliye-dekebo-014730758
150,Nienke BRINKMAN,28 OCT 1993,NED,1205,Marathon [Half Marathon],https://www.worldathletics.org/athletes/netherlands/nienke-brinkman-15007483
151,Tsige HAILESLASE,21 SEP 2000,ETH,1205,Marathon,https://www.worldathletics.org/athletes/ethiopia/tsige-haileslase-14792225
152,Sandrafelis Chebet TUEI,20 JAN 1998,KEN,1204,Marathon [Half Marathon],https://www.worldathletics.org/athletes/kenya/sandrafelis-chebet-tuei-14643483
153,Ruth JEBET,17 NOV 1996,BRN,1204,Marathon [Half Marathon],https://www.worldathletics.org/athletes/bahrain/ruth-jebet-014588310
154,Chiharu SUZUKI,18 NOV 1993,JPN,1204,Marathon,https://www.worldathletics.org/athletes/japan/chiharu-suzuki-014499988
155,Bedatu HIRPA,28 APR 1999,ETH,1204,Marathon,https://www.worldathletics.org/athletes/ethiopia/bedatu-hirpa-014714493
156,Rodah JEPKORIR,23 APR 1991,KEN,1202,Marathon,https://www.worldathletics.org/athletes/kenya/rodah-jepkorir-014620553
157,Abersh MINSEWO,22 FEB 2001,ETH,1200,Marathon [Half Marathon],https://www.worldathletics.org/athletes/ethiopia/abersh-minsewo-014805770
158,Evaline CHIRCHIR,02 FEB 1998,KEN,1200,Marathon [Half Marathon],https://www.worldathletics.org/athletes/kenya/evaline-chirchir-14817923
159,Judith JERUBET,31 AUG 1988,KEN,1199,Marathon,https://www.worldathletics.org/athletes/kenya/judith-jerubet-14920964
160,Rebbeca TANUI,,KEN,1199,Marathon,https://www.worldathletics.org/athletes/kenya/rebbeca-tanui-14999707
161,Ayantu Abera DEMISSE,12 SEP 1995,ETH,1198,Marathon,https://www.worldathletics.org/athletes/ethiopia/ayantu-abera-demisse-14662235
162,Li BAI,23 MAR 1994,CHN,1198,Marathon,https://www.worldathletics.org/athletes/pr-of-china/li-bai-14702490
163,Pascalia JEPKOGEI,19 NOV 2001,KEN,1198,Marathon,https://www.worldathletics.org/athletes/kenya/pascalia-jepkogei-14820095
164,Giovanna EPIS,11 OCT 1988,ITA,1198,Marathon,https://www.worldathletics.org/athletes/italy/giovanna-epis-14284281
165,Meritxell SOLER,20 JUL 1992,ESP,1197,Marathon,https://www.worldathletics.org/athletes/spain/meritxell-soler-14478926
166,Gladys CHEPKURUI,17 AUG 1994,KEN,1196,Marathon [Half Marathon],https://www.worldathletics.org/athletes/kenya/gladys-chepkurui-014530653
167,Méline ROLLIN,17 JUN 1998,FRA,1196,Marathon,https://www.worldathletics.org/athletes/france/meline-rollin-14646117
168,Derartu HAILU,08 MAY 2000,ETH,1195,Marathon,https://www.worldathletics.org/athletes/ethiopia/derartu-hailu-15084878
169,Zenebu FIKADU,14 SEP 1999,ETH,1195,Marathon,https://www.worldathletics.org/athletes/ethiopia/zenebu-fikadu-014823796
170,Natasha WODAK,17 DEC 1981,CAN,1194,Marathon,https://www.worldathletics.org/athletes/canada/natasha-wodak-14266948
171,Nigist MULUNEH,15 MAY 1997,ETH,1194,Marathon,https://www.worldathletics.org/athletes/ethiopia/nigist-muluneh-14821705
172,Samantha HARRISON,01 FEB 1995,GBR,1193,Marathon [Half Marathon],https://www.worldathletics.org/athletes/great-britain-ni/samantha-harrison-14890196
173,Obse ABDETA,07 SEP 2000,ETH,1192,Marathon [25 km Road],https://www.worldathletics.org/athletes/ethiopia/obse-abdeta-14730759
174,Domenika MAYER,09 OCT 1990,GER,1192,Marathon,https://www.worldathletics.org/athletes/germany/domenika-mayer-014537637
175,Alemtsehay ASEFA,11 SEP 1998,ETH,1191,Marathon,https://www.worldathletics.org/athletes/ethiopia/alemtsehay-asefa-14839997
176,Gulume CHALA,11 SEP 1992,ETH,1191,Marathon,https://www.worldathletics.org/athletes/ethiopia/gulume-chala-014507755
177,Fatima Azzahraa OUHADDOU NAFIE,30 AUG 1993,ESP,1191,Marathon,https://www.worldathletics.org/athletes/spain/fatima-azzahraa-ouhaddou-nafie-14790858
178,Mercyline CHELANGAT,17 DEC 1997,UGA,1191,Marathon [25 km Road],https://www.worldathletics.org/athletes/uganda/mercyline-chelangat-14693567
179,Tigist GETNET,,ETH,1190,Marathon [25 km Road],https://www.worldathletics.org/athletes/ethiopia/tigist-getnet-15001324
180,Calli THACKERY,09 JAN 1993,GBR,1190,Marathon [Half Marathon],https://www.worldathletics.org/athletes/great-britain-ni/calli-thackery-14276523
181,Amente Sorome NEGASH,25 NOV 1997,ETH,1190,Marathon,https://www.worldathletics.org/athletes/ethiopia/amente-sorome-negash-014818826
182,Ethlemahu SINTAYEHU,23 FEB 2001,ETH,1190,Marathon,https://www.worldathletics.org/athletes/ethiopia/ethlemahu-sintayehu-014797488
183,Lucy KARIMI,06 OCT 1986,KEN,1190,Marathon,https://www.worldathletics.org/athletes/kenya/lucy-karimi-14369654
184,Chloé HERBIET,03 DEC 1998,BEL,1190,Marathon,https://www.worldathletics.org/athletes/belgium/chloe-herbiet-14763815
185,Bruktayit ESHETU,29 SEP 1990,ETH,1189,Marathon [Half Marathon],https://www.worldathletics.org/athletes/ethiopia/bruktayit-eshetu-014383846
186,Tristin VAN ORD,03 OCT 1994,USA,1187,Marathon,https://www.worldathletics.org/athletes/united-states/tristin-van-ord-14628226
187,Caroline JEPCHIRCHIR,1998,KEN,1187,Marathon,https://www.worldathletics.org/athletes/kenya/caroline-jepchirchir-14373112
188,Rediet DANIEL MOLLA,,ETH,1186,Marathon [Half Marathon],https://www.worldathletics.org/athletes/ethiopia/rediet-daniel-molla-014922318
189,Honoka TANAIKE,21 MAR 1997,JPN,1186,Marathon,https://www.worldathletics.org/athletes/japan/honoka-tanaike-014722786
190,Zenebu BIHONEGN,29 OCT 1998,ETH,1186,Marathon,https://www.worldathletics.org/athletes/ethiopia/zenebu-bihonegn-14837557
191,Fiona O'KEEFFE,24 MAY 1998,USA,1185,Marathon [Half Marathon],https://www.worldathletics.org/athletes/united-states/fiona-okeeffe-014639376
192,Sakiho TSUTSUI,19 JAN 1996,JPN,1185,Marathon,https://www.worldathletics.org/athletes/japan/sakiho-tsutsui-14641812
193,Betelihem AFENIGUS,,ETH,1185,Marathon [Half Marathon],https://www.worldathletics.org/athletes/ethiopia/betelihem-afenigus-15013969
194,Sharon Jemutai CHEROP,16 MAR 1984,KEN,1185,Marathon,https://www.worldathletics.org/athletes/kenya/sharon-jemutai-cherop-014288956
195,Miriam DATTKE,24 JUN 1998,GER,1184,Marathon,https://www.worldathletics.org/athletes/germany/miriam-dattke-014586289
196,Gabriella ROOKER,09 OCT 1987,USA,1184,Marathon,https://www.worldathletics.org/athletes/united-states/gabriella-rooker-14918658
197,Anne LUIJTEN,04 APR 1994,NED,1184,Marathon,https://www.worldathletics.org/athletes/netherlands/anne-luijten-014420260
198,Atsede BAYISA,16 APR 1987,ETH,1184,Marathon,https://www.worldathletics.org/athletes/ethiopia/atsede-bayisa-014259910
199,Bosena MULATIE,21 NOV 2001,ETH,1184,Marathon [Half Marathon],https://www.worldathletics.org/athletes/ethiopia/bosena-mulatie-14921807
200,Yumi YOSHIKAWA,31 OCT 1990,JPN,1183,Marathon [Half Marathon],https://www.worldathletics.org/athletes/japan/yumi-yoshikawa-014522388
