Rank,Competitor,DOB,Nat,Score,EventList,athletes_url
30,Ronald KORIR,10 APR 1991,KEN,1322,Marathon,https://www.worldathletics.org/athletes/kenya/ronald-korir-014579745
31,Tadu ABATE,11 SEP 1997,ETH,1322,Marathon,https://www.worldathletics.org/athletes/ethiopia/tadu-abate-14785774
32,Amedework WALELEGN,11 MAR 1999,ETH,1318,Marathon [Half Marathon],https://www.worldathletics.org/athletes/ethiopia/amedework-walelegn-014760068
33,Alphonce Felix SIMBU,14 FEB 1992,TAN,1317,Marathon,https://www.worldathletics.org/athletes/tanzania/alphonce-felix-simbu-14487535
34,Timothy KIPLAGAT,18 SEP 1993,KEN,1317,Marathon,https://www.worldathletics.org/athletes/kenya/timothy-kiplagat-14825076
35,Shura KITATA,09 JUN 1996,ETH,1315,Marathon,https://www.worldathletics.org/athletes/ethiopia/shura-kitata-014730723
36,Vincent Kipkemoi NGETICH,03 JAN 1999,KEN,1314,Marathon [Half Marathon],https://www.worldathletics.org/athletes/kenya/vincent-kipkemoi-ngetich-14813827
37,Kaan Kigen ÖZBILEN,15 JAN 1986,TUR,1310,Marathon,https://www.worldathletics.org/athletes/turkey/kaan-kigen-ozbilen-14208053
38,Bethwel KIBET,1991,KEN,1309,Marathon,https://www.worldathletics.org/athletes/kenya/bethwel-kibet-014918111
39,Albert KORIR,02 MAR 1994,KEN,1307,Marathon,https://www.worldathletics.org/athletes/kenya/albert-korir-014645745
40,Kibiwott KANDIE,20 JUN 1996,KEN,1307,Marathon [Half Marathon],https://www.worldathletics.org/athletes/kenya/kibiwott-kandie-14780952
41,Deresa GELETA,,ETH,1303,Marathon,https://www.worldathletics.org/athletes/ethiopia/deresa-geleta-014816982
42,Stephen KISSA,01 DEC 1988,UGA,1300,Marathon,https://www.worldathletics.org/athletes/uganda/stephen-kissa-14677961
43,Laban Kipngetich KORIR,30 JUN 1985,KEN,1300,Marathon,https://www.worldathletics.org/athletes/kenya/laban-kipngetich-korir-014328122
44,Kinde ATANAW,15 APR 1993,ETH,1299,Marathon,https://www.worldathletics.org/athletes/ethiopia/kinde-atanaw-014534413
45,Milkesa MENGESHA,16 APR 2000,ETH,1299,Marathon,https://www.worldathletics.org/athletes/ethiopia/milkesa-mengesha-14805798
46,Hayle LEMI,13 SEP 1994,ETH,1293,Marathon,https://www.worldathletics.org/athletes/ethiopia/hayle-lemi-014639731
47,Brimin KIPKORIR,1989,KEN,1293,Marathon,https://www.worldathletics.org/athletes/kenya/brimin-kipkorir-014208274
48,Philemon KIPLIMO,10 OCT 1998,KEN,1289,Marathon,https://www.worldathletics.org/athletes/kenya/philemon-kiplimo-014862286
49,Tadese TAKELE,03 AUG 2002,ETH,1285,Marathon [Half Marathon],https://www.worldathletics.org/athletes/ethiopia/tadese-takele-14894746
50,Bernard Kiprop KOECH,31 JAN 1988,KEN,1285,Marathon,https://www.worldathletics.org/athletes/kenya/bernard-kiprop-koech-014423647
51,Solomon Kirwa YEGO,10 MAY 1987,KEN,1280,Marathon [Half Marathon],https://www.worldathletics.org/athletes/kenya/solomon-kirwa-yego-014437533
52,Kenneth KETER,04 AUG 1996,KEN,1280,Marathon,https://www.worldathletics.org/athletes/kenya/kenneth-keter-014720219
53,Gebretsadik ABRAHA,16 JUL 1992,ETH,1280,Marathon,https://www.worldathletics.org/athletes/ethiopia/gebretsadik-abraha-014413321
54,Abraham KIPTOO,16 JUL 1999,KEN,1278,Marathon,https://www.worldathletics.org/athletes/kenya/abraham-kiptoo-15028729
55,Enock ONCHARI,16 JAN 1999,KEN,1278,Marathon,https://www.worldathletics.org/athletes/kenya/enock-onchari-14964832
56,Kenya SONOTA,10 MAY 1993,JPN,1277,Marathon,https://www.worldathletics.org/athletes/japan/kenya-sonota-14483455
57,Samwel Nyamai MAILU,07 FEB 1993,KEN,1276,Marathon,https://www.worldathletics.org/athletes/kenya/samwel-nyamai-mailu-15018129
58,Abdi NAGEEYE,02 MAR 1989,NED,1276,Marathon,https://www.worldathletics.org/athletes/netherlands/abdi-nageeye-14214214
59,Hailemaryam KIROS,05 FEB 1997,ETH,1272,Marathon,https://www.worldathletics.org/athletes/ethiopia/hailemaryam-kiros-014921809
60,Gashau AYALE,22 AUG 1996,ISR,1271,Marathon,https://www.worldathletics.org/athletes/israel/gashau-ayale-14714462
61,Felix KIRWA,08 OCT 1995,KEN,1270,Marathon,https://www.worldathletics.org/athletes/kenya/felix-kirwa-014692705
62,Tebello RAMAKONGOANA,13 OCT 1996,LES,1268,Marathon,https://www.worldathletics.org/athletes/lesotho/tebello-ramakongoana-14794838
63,Zouhair TALBI,08 APR 1995,MAR,1268,Marathon,https://www.worldathletics.org/athletes/morocco/zouhair-talbi-14577963
64,Yihunilign ADANE,29 FEB 1996,ETH,1267,Marathon,https://www.worldathletics.org/athletes/ethiopia/yihunilign-adane-014577962
65,Michael Mugo GITHAE,26 AUG 1994,KEN,1265,Marathon,https://www.worldathletics.org/athletes/kenya/michael-mugo-githae-14644141
66,Marius KIMUTAI,10 DEC 1992,BRN,1263,Marathon,https://www.worldathletics.org/athletes/bahrain/marius-kimutai-014612632
67,Moses KIBET,04 FEB 1997,KEN,1263,Marathon,https://www.worldathletics.org/athletes/kenya/moses-kibet-014746654
68,Conner MANTZ,08 DEC 1996,USA,1263,Marathon,https://www.worldathletics.org/athletes/united-states/conner-mantz-14628442
69,Haymanot ALEW,11 NOV 1997,ETH,1260,Marathon,https://www.worldathletics.org/athletes/ethiopia/haymanot-alew-014693559
70,Adane KEBEDE,1996,ETH,1258,Marathon,https://www.worldathletics.org/athletes/ethiopia/adane-kebede-14932836
71,Amanal PETROS,17 MAY 1995,GER,1257,Marathon,https://www.worldathletics.org/athletes/germany/amanal-petros-014572523
72,Shaohui YANG,09 JUL 1992,CHN,1257,Marathon,https://www.worldathletics.org/athletes/pr-of-china/shaohui-yang-14523268
73,Morhad AMDOUNI,21 JUN 1988,FRA,1256,Marathon,https://www.worldathletics.org/athletes/france/morhad-amdouni-14182867
74,Kyohei HOSOYA,31 AUG 1995,JPN,1255,Marathon,https://www.worldathletics.org/athletes/japan/kyohei-hosoya-014569141
75,Kipkemoi KIPRONO,12 SEP 1995,KEN,1254,Marathon,https://www.worldathletics.org/athletes/kenya/kipkemoi-kiprono-014791387
76,Tadesse ABRAHAM,12 AUG 1982,SUI,1253,Marathon,https://www.worldathletics.org/athletes/switzerland/tadesse-abraham-014167400
77,Andamlak BELIHU,20 NOV 1998,ETH,1251,Marathon [Half Marathon],https://www.worldathletics.org/athletes/ethiopia/andamlak-belihu-014800831
78,Richard RINGER,27 FEB 1989,GER,1251,Marathon,https://www.worldathletics.org/athletes/germany/richard-ringer-014193865
79,Limenih GETACHEW,30 APR 1990,ETH,1251,Marathon,https://www.worldathletics.org/athletes/ethiopia/limenih-getachew-014547542
80,Henok TESFAY,2000,ERI,1251,Marathon,https://www.worldathletics.org/athletes/eritrea/henok-tesfay-14935352
81,Edmond KIPNGETICH,30 MAR 1994,KEN,1247,Marathon [Half Marathon],https://www.worldathletics.org/athletes/kenya/edmond-kipngetich-14834361
82,Vincent Kibor RAIMOI,16 JUL 1996,KEN,1247,Marathon,https://www.worldathletics.org/athletes/kenya/vincent-kibor-raimoi-014796115
83,Getaneh MOLLA,10 JAN 1994,ETH,1247,Marathon,https://www.worldathletics.org/athletes/ethiopia/getaneh-molla-014635616
84,Cameron LEVINS,28 MAR 1989,CAN,1246,Marathon [Half Marathon],https://www.worldathletics.org/athletes/canada/cameron-levins-14326707
85,Ichitaka YAMASHITA,29 JUL 1997,JPN,1246,Marathon,https://www.worldathletics.org/athletes/japan/ichitaka-yamashita-14765571
86,Adeledelew MAMO,1999,ETH,1246,Marathon,https://www.worldathletics.org/athletes/ethiopia/adeledelew-mamo-14967743
87,Kebede TULU,15 SEP 1996,ETH,1246,Marathon,https://www.worldathletics.org/athletes/ethiopia/kebede-tulu-14703068
88,Naoki KOYAMA,12 MAY 1996,JPN,1245,Marathon,https://www.worldathletics.org/athletes/japan/naoki-koyama-014740573
89,Hassan CHAHDI,07 MAY 1989,FRA,1244,Marathon,https://www.worldathletics.org/athletes/france/hassan-chahdi-14183770
90,Suguru OSAKO,23 MAY 1991,JPN,1244,Marathon,https://www.worldathletics.org/athletes/japan/suguru-osako-014335060
91,Mulugeta Asefa UMA,12 MAR 1998,ETH,1244,Marathon,https://www.worldathletics.org/athletes/ethiopia/mulugeta-asefa-uma-014661608
92,Tafese DELELEGN,11 SEP 1989,ETH,1244,Marathon,https://www.worldathletics.org/athletes/ethiopia/tafese-delelegn-14686453
93,Olika ADUGNA,12 SEP 1999,ETH,1243,Marathon,https://www.worldathletics.org/athletes/ethiopia/olika-adugna-014848754
94,Josphat BOIT,25 NOV 1995,KEN,1243,Marathon,https://www.worldathletics.org/athletes/kenya/josphat-boit-014839976
95,Philemon RONO,08 FEB 1991,KEN,1242,Marathon,https://www.worldathletics.org/athletes/kenya/philemon-rono-014420235
96,Tsedat Abeje AYANA,18 FEB 1996,ETH,1240,Marathon,https://www.worldathletics.org/athletes/ethiopia/tsedat-abeje-ayana-014579465
97,Leonard LANGAT,02 AUG 1996,KEN,1239,Marathon,https://www.worldathletics.org/athletes/kenya/leonard-langat-014657138
98,Mekuant AYENEW,24 OCT 1991,ETH,1238,Marathon,https://www.worldathletics.org/athletes/ethiopia/mekuant-ayenew-14509843
99,Daniel KIPCHUMBA,12 DEC 1997,KEN,1238,Marathon,https://www.worldathletics.org/athletes/kenya/daniel-kipchumba-014748400
100,Stephen MOKOKA,31 JAN 1985,RSA,1238,Marathon,https://www.worldathletics.org/athletes/south-africa/stephen-mokoka-14220671
101,Reuben KERIO,02 JUN 1994,KEN,1237,Marathon,https://www.worldathletics.org/athletes/kenya/reuben-kerio-014645732
102,Goitom KIFLE,03 DEC 1993,ERI,1237,Marathon,https://www.worldathletics.org/athletes/eritrea/goitom-kifle-14366697
103,Kemal HUSEN,24 MAY 2003,ETH,1237,Marathon,https://www.worldathletics.org/athletes/ethiopia/kemal-husen-15056477
104,Felix KIPKOECH,01 FEB 1998,KEN,1237,Marathon [Half Marathon],https://www.worldathletics.org/athletes/kenya/felix-kipkoech-014878207
105,Koen NAERT,03 SEP 1989,BEL,1237,Marathon,https://www.worldathletics.org/athletes/belgium/koen-naert-014329163
106,Chala REGASA,30 APR 1997,ETH,1236,Marathon [Half Marathon],https://www.worldathletics.org/athletes/ethiopia/chala-regasa-014650107
107,Tatsuya MARUYAMA,29 JUL 1994,JPN,1236,Marathon,https://www.worldathletics.org/athletes/japan/tatsuya-maruyama-014868780
108,Joel Kemboi KIMURER,21 JAN 1988,KEN,1236,Marathon,https://www.worldathletics.org/athletes/kenya/joel-kemboi-kimurer-014208131
109,Clayton YOUNG,14 SEP 1993,USA,1234,Marathon,https://www.worldathletics.org/athletes/united-states/clayton-young-014693199
110,Pius KARANJA,15 APR 1992,KEN,1232,Marathon,https://www.worldathletics.org/athletes/kenya/pius-karanja-14796110
111,Guye Idemo ADOLA,20 OCT 1990,ETH,1232,Marathon,https://www.worldathletics.org/athletes/ethiopia/guye-idemo-adola-014629097
112,Michael KAMAU,25 FEB 1992,KEN,1231,Marathon,https://www.worldathletics.org/athletes/kenya/michael-kamau-14207800
113,Yohans MEKASHA,04 FEB 1998,ETH,1231,Marathon,https://www.worldathletics.org/athletes/ethiopia/yohans-mekasha-014693556
114,Brett ROBINSON,08 MAY 1991,AUS,1231,Marathon,https://www.worldathletics.org/athletes/australia/brett-robinson-14336706
115,Mohcin OUTALHA,15 DEC 1998,MAR,1230,Marathon,https://www.worldathletics.org/athletes/morocco/mohcin-outalha-14786886
116,Tariku NOVALES,08 MAR 1998,ESP,1230,Marathon,https://www.worldathletics.org/athletes/spain/tariku-novales-14630487
117,Victor KIPCHIRCHIR,05 DEC 1987,KEN,1230,Marathon,https://www.worldathletics.org/athletes/kenya/victor-kipchirchir-014524534
118,Berhane Tsegay TEKLE,01 JAN 1983,ERI,1229,Marathon,https://www.worldathletics.org/athletes/eritrea/berhane-tsegay-tekle-14555147
119,Gevin KERICH,02 FEB 1995,KEN,1229,Marathon,https://www.worldathletics.org/athletes/kenya/gevin-kerich-014900886
120,Ashenafi MOGES,15 NOV 1994,ETH,1228,Marathon,https://www.worldathletics.org/athletes/ethiopia/ashenafi-moges-14696544
121,Kento KIKUTANI,08 MAY 1994,JPN,1228,Marathon,https://www.worldathletics.org/athletes/japan/kento-kikutani-014631422
122,Boniface KIMUTAI,12 AUG 1995,KEN,1227,Marathon,https://www.worldathletics.org/athletes/kenya/boniface-kimutai-14886044
123,Berhane TESFAY,09 JAN 1987,ERI,1227,Marathon,https://www.worldathletics.org/athletes/eritrea/berhane-tesfay-014753679
124,Nicolas NAVARRO,12 MAR 1991,FRA,1227,Marathon,https://www.worldathletics.org/athletes/france/nicolas-navarro-014624740
125,Zablon CHUMBA,20 DEC 1991,KEN,1227,Marathon,https://www.worldathletics.org/athletes/kenya/zablon-chumba-14593542
126,Emile CAIRESS,27 DEC 1997,GBR,1226,Marathon [Half Marathon],https://www.worldathletics.org/athletes/great-britain-ni/emile-cairess-14644747
127,Edwin KIPTOO,14 AUG 1993,KEN,1226,Marathon,https://www.worldathletics.org/athletes/kenya/edwin-kiptoo-14723152
128,Justus KANGOGO,10 OCT 1995,KEN,1226,Marathon,https://www.worldathletics.org/athletes/kenya/justus-kangogo-014680895
129,Gadisa BIRHANU,15 SEP 1992,ETH,1225,Marathon,https://www.worldathletics.org/athletes/ethiopia/gadisa-birhanu-14574415
130,Mike Kiptum BOIT,14 SEP 1992,KEN,1225,Marathon,https://www.worldathletics.org/athletes/kenya/mike-kiptum-boit-14812860
131,Titus Kimutai KIPKOSGEI,08 NOV 1998,KEN,1225,Marathon,https://www.worldathletics.org/athletes/kenya/titus-kimutai-kipkosgei-15020605
132,Mehdi FRÈRE,27 JUL 1996,FRA,1224,Marathon,https://www.worldathletics.org/athletes/france/mehdi-frere-14592128
133,Hector GARIBAY FLORES,09 JUL 1988,BOL,1224,Marathon,https://www.worldathletics.org/athletes/bolivia/hector-garibay-flores-14840354
134,Abebe NEGEWO,20 MAY 1984,ETH,1224,Marathon,https://www.worldathletics.org/athletes/ethiopia/abebe-negewo-14335856
135,Gebru REDAHGNE,23 MAR 2000,ETH,1224,Marathon,https://www.worldathletics.org/athletes/ethiopia/gebru-redahgne-15002247
136,Guojian DONG,16 MAR 1987,CHN,1224,Marathon,https://www.worldathletics.org/athletes/pr-of-china/guojian-dong-14172732
137,Derseh KINDIE,04 FEB 1999,ETH,1223,Marathon,https://www.worldathletics.org/athletes/ethiopia/derseh-kindie-14936451
138,Wilfred Kirwa KIGEN,21 JAN 1986,KEN,1222,Marathon,https://www.worldathletics.org/athletes/kenya/wilfred-kirwa-kigen-014421982
139,Jie HE,27 DEC 1998,CHN,1221,Marathon,https://www.worldathletics.org/athletes/pr-of-china/jie-he-14795227
140,Kenneth Kiprop KIPKEMOI,02 AUG 1984,KEN,1220,Marathon,https://www.worldathletics.org/athletes/kenya/kenneth-kiprop-kipkemoi-014383248
141,Khalid CHOUKOUD,23 MAR 1986,NED,1220,Marathon,https://www.worldathletics.org/athletes/netherlands/khalid-choukoud-014213752
142,Nobert KIGEN,24 JAN 1993,KEN,1218,Marathon,https://www.worldathletics.org/athletes/kenya/nobert-kigen-014675185
143,Hicham LAQOUAHI,13 JUN 1989,MAR,1218,Marathon,https://www.worldathletics.org/athletes/morocco/hicham-laqouahi-014441533
144,Hendrik PFEIFFER,18 MAR 1993,GER,1218,Marathon,https://www.worldathletics.org/athletes/germany/hendrik-pfeiffer-014429726
145,Daisuke DOI,06 NOV 1996,JPN,1218,Marathon,https://www.worldathletics.org/athletes/japan/daisuke-doi-014728615
146,Andualem BELAY,05 APR 1992,ETH,1217,Marathon,https://www.worldathletics.org/athletes/ethiopia/andualem-belay-14512177
147,Sondre Nordstad MOEN,12 JAN 1991,NOR,1217,Marathon [Half Marathon],https://www.worldathletics.org/athletes/norway/sondre-nordstad-moen-14215417
148,Samsom AMARE,01 JAN 1994,ERI,1217,Marathon [Half Marathon],https://www.worldathletics.org/athletes/eritrea/samsom-amare-14812838
149,Isaac MPOFU,20 AUG 1988,ZIM,1217,Marathon,https://www.worldathletics.org/athletes/zimbabwe/isaac-mpofu-14654920
150,Okubay TSEGAY,01 JAN 1986,ERI,1216,Marathon,https://www.worldathletics.org/athletes/eritrea/okubay-tsegay-014725757
151,Gizealew AYANA,11 FEB 2003,ETH,1216,Marathon [Half Marathon],https://www.worldathletics.org/athletes/ethiopia/gizealew-ayana-15002407
152,Yemaneberhan CRIPPA,15 OCT 1996,ITA,1215,Marathon,https://www.worldathletics.org/athletes/italy/yemaneberhan-crippa-14513998
153,Bethwell KIPKEMBOI,06 APR 1993,KEN,1215,Marathon,https://www.worldathletics.org/athletes/kenya/bethwell-kipkemboi-014807871
154,Yuki KAWAUCHI,05 MAR 1987,JPN,1215,Marathon,https://www.worldathletics.org/athletes/japan/yuki-kawauchi-014203841
155,Girmaw AMARE,26 OCT 1987,ISR,1214,Marathon,https://www.worldathletics.org/athletes/israel/girmaw-amare-014427580
155,Abel KIRUI,06 APR 1982,KEN,1214,Marathon,https://www.worldathletics.org/athletes/kenya/abel-kirui-14208543
157,Edward CHESEREK,02 FEB 1994,KEN,1213,Marathon [Half Marathon],https://www.worldathletics.org/athletes/kenya/edward-cheserek-014463987
158,Douglas CHEBII,01 NOV 1993,KEN,1213,Marathon,https://www.worldathletics.org/athletes/kenya/douglas-chebii-014645718
159,Mark KORIR,06 AUG 1988,KEN,1212,Marathon,https://www.worldathletics.org/athletes/kenya/mark-korir-14243283
160,Abel KIPCHUMBA,03 FEB 1994,KEN,1212,Marathon [Half Marathon],https://www.worldathletics.org/athletes/kenya/abel-kipchumba-014785951
161,Jemal MEKONEN,11 SEP 1996,ETH,1212,Marathon [Half Marathon],https://www.worldathletics.org/athletes/ethiopia/jemal-mekonen-14757695
162,Fikre BEKELE,11 SEP 1998,ETH,1212,Marathon,https://www.worldathletics.org/athletes/ethiopia/fikre-bekele-14825694
163,Abdisa TOLA,03 OCT 2000,ETH,1211,Marathon [25 km Road],https://www.worldathletics.org/athletes/ethiopia/abdisa-tola-15002312
164,Alene MEKONEN,,ETH,1211,Marathon,https://www.worldathletics.org/athletes/ethiopia/alene-mekonen-15070204
165,Balew YIHUNLE,21 SEP 1998,ETH,1211,Marathon,https://www.worldathletics.org/athletes/ethiopia/balew-yihunle-014863951
166,Hamza SAHLI,10 MAY 1993,MAR,1210,Marathon,https://www.worldathletics.org/athletes/morocco/hamza-sahli-14212196
167,Haimro ALAME,08 JUN 1990,ISR,1210,Marathon,https://www.worldathletics.org/athletes/israel/haimro-alame-14584604
168,Aychew BANTIE,12 SEP 1995,ETH,1209,Marathon,https://www.worldathletics.org/athletes/ethiopia/aychew-bantie-014813868
169,Hiroto INOUE,06 JAN 1993,JPN,1209,Marathon,https://www.worldathletics.org/athletes/japan/hiroto-inoue-014493782
170,Tsubasa ICHIYAMA,08 APR 1996,JPN,1209,Marathon,https://www.worldathletics.org/athletes/japan/tsubasa-ichiyama-014731465
171,Shohei OTSUKA,13 AUG 1994,JPN,1209,Marathon,https://www.worldathletics.org/athletes/japan/shohei-otsuka-014462571
172,Daniele MEUCCI,07 OCT 1985,ITA,1209,Marathon,https://www.worldathletics.org/athletes/italy/daniele-meucci-14200873
173,Eyob GHEBREHIWET FANIEL,26 NOV 1992,ITA,1209,Marathon,https://www.worldathletics.org/athletes/italy/eyob-ghebrehiwet-faniel-14446830
174,Peiyou FENG,01 AUG 2001,CHN,1209,Marathon,https://www.worldathletics.org/athletes/pr-of-china/peiyou-feng-14913520
175,Oqbe Kibrom RUESOM,01 JAN 1998,ERI,1208,Marathon [Half Marathon],https://www.worldathletics.org/athletes/eritrea/oqbe-kibrom-ruesom-14919658
176,Iliass AOUANI,29 SEP 1995,ITA,1208,Marathon,https://www.worldathletics.org/athletes/italy/iliass-aouani-014585136
177,Ibrahim CHAKIR,04 SEP 1994,ESP,1207,Marathon,https://www.worldathletics.org/athletes/spain/ibrahim-chakir-14509265
178,Cyrus MUTAI,08 JAN 1993,KEN,1207,Marathon,https://www.worldathletics.org/athletes/kenya/cyrus-mutai-014855726
179,Robert KWAMBAI,22 NOV 1985,KEN,1206,Marathon,https://www.worldathletics.org/athletes/kenya/robert-kwambai-014465396
180,Abraraw MISGANAW,05 SEP 1988,ETH,1206,Marathon,https://www.worldathletics.org/athletes/ethiopia/abraraw-misganaw-14543237
181,Addisu GOBENA,20 OCT 2004,ETH,1205,Marathon [Half Marathon],https://www.worldathletics.org/athletes/ethiopia/addisu-gobena-15113613
182,Tesfaye Lencho ANBESA,1997,ETH,1205,Marathon,https://www.worldathletics.org/athletes/ethiopia/tesfaye-lencho-anbesa-014788972
183,Christian PACHECO,26 MAY 1993,PER,1205,Marathon,https://www.worldathletics.org/athletes/peru/christian-pacheco-014609456
184,Solomon MUTAI,22 OCT 1992,UGA,1205,Marathon,https://www.worldathletics.org/athletes/uganda/solomon-mutai-014432818
185,Samuel FITWI SIBHATU,01 JAN 1996,GER,1204,Marathon,https://www.worldathletics.org/athletes/germany/samuel-fitwi-sibhatu-14773664
185,Abdi KEBEDE,11 SEP 1997,ETH,1204,Marathon,https://www.worldathletics.org/athletes/ethiopia/abdi-kebede-14838692
187,Joshua KOGO,,KEN,1204,Marathon,https://www.worldathletics.org/athletes/kenya/joshua-kogo-14766284
188,Martin KIPRUGUT KOSGEY,21 MAR 1989,KEN,1203,Marathon,https://www.worldathletics.org/athletes/kenya/martin-kiprugut-kosgey-014523958
189,Merhawi KESETE,01 JAN 1986,ERI,1203,Marathon,https://www.worldathletics.org/athletes/eritrea/merhawi-kesete-14625896
190,Edwin KOSGEI,17 SEP 1989,KEN,1203,Marathon,https://www.worldathletics.org/athletes/kenya/edwin-kosgei-014915327
191,Yuta SHIMODA,31 MAR 1996,JPN,1202,Marathon,https://www.worldathletics.org/athletes/japan/yuta-shimoda-014679340
192,Ibrahim HASSAN,01 JAN 1997,DJI,1201,Marathon [Half Marathon],https://www.worldathletics.org/athletes/djibouti/ibrahim-hassan-14690376
193,Challa GOSSA,2000,ETH,1201,Marathon,https://www.worldathletics.org/athletes/ethiopia/challa-gossa-15069501
194,Akira AKASAKI,21 JAN 1998,JPN,1201,Marathon,https://www.worldathletics.org/athletes/japan/akira-akasaki-014765559
195,Abderrazak CHARIK,19 SEP 1997,FRA,1200,Marathon,https://www.worldathletics.org/athletes/france/abderrazak-charik-014648912
196,Denis CHIRCHIR,15 JAN 1990,KEN,1200,Marathon,https://www.worldathletics.org/athletes/kenya/denis-chirchir-014837552
197,Philip SESEMANN,03 OCT 1992,GBR,1200,Marathon,https://www.worldathletics.org/athletes/great-britain-ni/philip-sesemann-14423383
198,Hailu ZEWDU,02 MAY 1995,ETH,1200,Marathon,https://www.worldathletics.org/athletes/ethiopia/hailu-zewdu-14707459
199,Samuel BARATA,19 JUL 1993,POR,1200,Marathon [Half Marathon],https://www.worldathletics.org/athletes/portugal/samuel-barata-014428288
200,Ayad LAMDASSEM,11 OCT 1981,ESP,1200,Marathon,https://www.worldathletics.org/athletes/spain/ayad-lamdassem-14166054
201,Yuya YOSHIDA,23 APR 1997,JPN,1199,Marathon,https://www.worldathletics.org/athletes/japan/yuya-yoshida-014767720
202,Afewerk MESFIN,12 OCT 1992,ETH,1199,Marathon,https://www.worldathletics.org/athletes/ethiopia/afewerk-mesfin-014428737
203,Dominic LETTING,10 NOV 1994,KEN,1199,Marathon,https://www.worldathletics.org/athletes/kenya/dominic-letting-014766282
204,Abiyote ABINET,10 MAY 1989,ETH,1199,Marathon,https://www.worldathletics.org/athletes/ethiopia/abiyote-abinet-014374479
