,Place Overall,Place Gender,Name (CTZ),BIB,Division,HALF,Finish
116,117,101,"Soszka, Marcin (POL)",861,40-44,01:12:06,02:27:34
117,118,102,"Desvernine, Stephen (USA)",499,35-39,01:12:15,02:27:34
118,119,17,"Linden, Desiree (USA)",110,40-44,01:12:53,02:27:35
119,120,103,"Kuvin, Alex (USA)",8079,25-29,01:13:18,02:27:36
120,121,104,"Bocher, Ben (USA)",430,40-44,01:14:28,02:27:38
121,122,105,"Broadbent, Logan (USA)",871,35-39,01:13:10,02:28:06
122,123,106,"Nelson, Craig (USA)",869,25-29,01:10:52,02:28:09
123,124,107,"Procknow, Adam (USA)",721,25-29,01:14:30,02:28:19
124,125,108,"Tyner, Alexander (USA)",852,25-29,01:14:28,02:28:21
125,126,18,"Montoya, Maggie (USA)",122,30-34,01:12:06,02:28:22
126,127,109,"Gardner, Charles (USA)",537,20-24,01:12:57,02:28:23
127,128,110,"Hendrix, Austin (USA)",848,30-34,01:14:28,02:28:29
128,129,111,"Kalbfleisch, Alan (CAN)",18151,30-34,01:13:29,02:28:32
129,130,112,"Goldberg, Alex (USA)",543,25-29,01:13:19,02:28:32
130,131,113,"Rink, Derek (USA)",732,25-29,01:14:24,02:28:40
131,132,114,"Caligiuri, John-Paul (AUS)",25022,40-44,01:13:21,02:28:41
132,133,115,"Symonds, Cody (USA)",6065,25-29,01:13:54,02:28:45
133,134,116,"Hinrichsen, Erik (USA)",576,30-34,01:14:28,02:28:47
134,135,117,"Arthur, Jeremy (USA)",408,35-39,01:13:23,02:28:49
135,136,118,"Schroeder, Adam (USA)",752,35-39,01:12:51,02:29:04
136,137,119,"Bouvier, Frederic (FRA)",20162,40-44,01:13:40,02:29:06
137,138,120,"Visse, Chantz (USA)",797,20-24,01:10:43,02:29:07
138,139,121,"Boyle, Travis (AUS)",25024,40-44,01:13:24,02:29:07
139,140,122,"Biondo, Frankie (USA)",427,25-29,01:12:19,02:29:08
140,141,123,"Rideout, Ken (USA)",864,50-54,01:14:08,02:29:10
141,142,124,"Kopec, Wojciech (POL)",617,35-39,01:12:07,02:29:13
142,143,125,"Musumeci, Nicholas (USA)",9058,35-39,01:13:23,02:29:15
143,144,126,"Hauk, Ben (USA)",8026,25-29,01:14:01,02:29:24
144,145,127,"Nicewicz, Sebastian (USA)",691,30-34,01:15:01,02:29:25
145,146,128,"Ferraz, Lucas (BRA)",2020,30-34,01:12:07,02:29:26
146,147,129,"O'Reilly, Sean (USA)",7174,30-34,01:15:08,02:29:32
147,148,130,"Wyatt, Brian (USA)",18164,30-34,01:14:33,02:29:32
148,149,131,"Alexander, Jacob (USA)",19127,30-34,01:15:09,02:29:34
149,150,132,"Krispel, Yaniv (ISR)",25228,40-44,01:14:26,02:29:34
150,151,133,"Plocher, Jacob (USA)",9001,20-24,01:14:41,02:29:35
151,152,134,"Porebski, Thomas (GER)",25189,40-44,01:13:44,02:29:37
152,153,135,"Blas, Wayne (USA)",25597,45-49,01:15:05,02:29:38
153,154,136,"Kusak, Matt (USA)",21107,20-24,01:14:26,02:29:39
154,155,137,"Kopp, Herbert (AUT)",1162,35-39,01:14:31,02:29:39
155,156,138,"Ye, Andrew (USA)",19049,20-24,–,02:29:42
156,157,139,"Matejka, Matthew (USA)",10117,25-29,01:14:55,02:29:45
157,158,140,"Soufane, Jamal (BRA)",1200,30-34,01:12:04,02:29:45
158,159,141,"Dennis, Alex (USA)",498,25-29,01:13:11,02:29:47
159,160,142,"SooHoo, Zach (USA)",9128,25-29,01:15:05,02:29:48
160,161,143,"Porst, Christopher (USA)",719,30-34,01:13:41,02:29:52
161,162,144,"Peterson, Daniel (USA)",10013,20-24,01:13:05,02:29:54
162,163,145,"Spies, Wayne (AUS)",25017,50-54,01:13:09,02:29:54
163,164,146,"Pagan, Edwin (USA)",19150,35-39,01:14:59,02:29:58
164,165,147,"McGlinchey, Gavin (IRL)",25210,45-49,01:14:57,02:30:06
165,166,148,"Baker, Josh (USA)",1014,20-24,01:15:25,02:30:06
166,167,149,"Bickell, Nathan (USA)",20081,30-34,01:14:16,02:30:08
167,168,150,"Van Ongeval, Tom (BEL)",25040,50-54,01:12:09,02:30:14
168,169,151,"MacDonald, Sean (USA)",642,25-29,01:13:19,02:30:14
169,170,152,"Burd, Ryan (USA)",441,25-29,01:08:33,02:30:16
170,171,153,"Navarre, William (USA)",20018,35-39,01:16:16,02:30:20
171,172,154,"Kolbus, Nathan (USA)",615,20-24,01:10:43,02:30:23
172,173,155,"Davies, Fred (GBR)",491,25-29,01:12:56,02:30:23
173,174,156,"Inak, Kamil (TUR)",5085,35-39,01:14:01,02:30:27
174,175,157,"Pro, Stephan (USA)",22042,45-49,01:15:48,02:30:29
175,176,158,"Zeha, Jeff (USA)",819,40-44,01:14:42,02:30:29
176,177,159,"Weissensel, James (USA)",800,25-29,01:13:11,02:30:31
177,178,160,"Sousa, Renato (POR)",4197,30-34,01:14:12,02:30:32
178,179,161,"Burnham, Scott (USA)",445,30-34,01:12:09,02:30:38
179,180,162,"Cyr, Olivier (CAN)",2074,30-34,01:15:09,02:30:42
180,181,163,"Baumann, Lenny (USA)",6191,20-24,01:14:01,02:30:43
181,182,164,"De Dios, Avelino (ESP)",5051,30-34,01:14:53,02:30:45
182,183,165,"Battoo, Christopher (TTO)",21060,35-39,01:14:02,02:30:48
183,184,166,"Schmieg, David (USA)",6076,25-29,01:14:26,02:30:56
184,185,167,"Otero, Jean (PUR)",841,30-34,01:13:53,02:30:58
185,186,168,"Evans, Luke (USA)",6090,25-29,01:16:10,02:31:00
186,187,169,"Williams, Brandon (USA)",10007,25-29,01:14:26,02:31:05
187,188,170,"Lynch, Tim (USA)",640,30-34,01:15:16,02:31:06
188,189,171,"Goldslager, Andrew (USA)",19185,20-24,01:13:34,02:31:11
189,190,172,"Barbour, Jack (USA)",7109,20-24,01:15:27,02:31:14
190,191,173,"Coffey, Peter (USA)",847,30-34,01:15:15,02:31:15
191,192,174,"Risseeuw, Lance (CAN)",2150,35-39,01:15:39,02:31:17
192,193,175,"Junell, Chase (USA)",8197,25-29,01:13:58,02:31:18
193,194,176,"Greeneway, Jacob (USA)",9165,30-34,01:16:21,02:31:19
194,195,177,"Rynkowski, Pat (USA)",9013,30-34,01:16:05,02:31:20
195,196,178,"Wang, Xianrong (CHN)",19126,40-44,01:16:07,02:31:26
196,197,179,"Hoagland, Zachary (USA)",578,30-34,01:13:11,02:31:27
197,198,180,"Eccher, Nick (USA)",18023,25-29,01:14:33,02:31:28
198,199,19,"Delanis, Emeline (FRA)",126,25-29,01:15:53,02:31:29
199,200,181,"Klingler, Kyle (USA)",20011,25-29,01:13:56,02:31:30
200,201,182,"Penny, Blaine (CAN)",25062,45-49,01:15:01,02:31:32
201,202,20,"Ndiwa, Stacy (KEN)",125,30-34,01:10:52,02:31:34
202,203,183,"Kaehr, Andrew (USA)",849,30-34,01:15:15,02:31:37
203,204,184,"Polansky, Micah (USA)",717,40-44,01:14:45,02:31:41
204,205,185,"Kondracki, Kyle (USA)",18003,25-29,01:15:22,02:31:43
205,206,186,"Gutmann, Paul (USA)",8154,35-39,01:14:26,02:31:47
206,207,187,"Musgrave, Patrick (USA)",7103,30-34,01:15:09,02:31:49
207,208,188,"Benjamin, Houri (FRA)",3030,30-34,01:15:17,02:31:53
208,209,189,"Langlais, Raymond (USA)",20113,20-24,01:16:22,02:31:56
209,210,190,"Lopez, Nestor (VEN)",21030,35-39,01:16:55,02:31:58
210,211,191,"Lindquist, Bryan (USA)",634,30-34,01:16:44,02:32:05
211,212,192,"Mulej, Janez (SLO)",25405,40-44,01:16:38,02:32:06
212,213,193,"Sanabria Ortiz, Leonardo (COL)",2195,40-44,01:14:03,02:32:13
213,214,194,"DiChiara, Tom (USA)",500,45-49,01:16:01,02:32:14
214,215,195,"Pineda Morales, Guillermo (USA)",22123,50-54,01:14:28,02:32:15
215,216,196,"Evans, David (USA)",516,25-29,01:14:44,02:32:21
216,217,197,"Welch, James (USA)",8091,25-29,01:14:27,02:32:29
217,218,198,"Teubner, Glenn (USA)",20085,25-29,01:15:46,02:32:31
218,219,199,"Rowland, Nat (GBR)",5198,30-34,01:15:22,02:32:37
219,220,200,"Ishikawa, Masami (JPN)",25254,40-44,01:16:39,02:32:42
220,221,201,"Klug, Jacob (USA)",22039,45-49,01:13:30,02:32:42
221,222,202,"Mano, Ryuji (USA)",647,25-29,01:13:41,02:32:44
222,223,203,"Kinsella, John (IRL)",609,40-44,01:15:47,02:32:46
223,224,204,"Rossi, Timothy (USA)",20118,30-34,01:14:30,02:32:47
224,225,205,"McKenna, Nolan (USA)",668,25-29,01:14:03,02:32:48
225,226,206,"Myers, Mark (USA)",20013,25-29,–,02:32:50
226,227,207,"Izewski, Nate (USA)",593,25-29,01:13:44,02:32:52
227,228,208,"Wenzel, Daniel (USA)",9100,30-34,01:14:26,02:32:54
228,229,209,"Buzinsky, Adam (CAN)",20086,35-39,01:15:22,02:32:56
229,230,210,"Norton, Joseph (USA)",694,35-39,01:15:56,02:32:59
230,231,211,"Ignotas, Marius (LTU)",4007,35-39,01:14:17,02:33:01
231,232,212,"Peters, Cameron (USA)",19107,20-24,01:15:27,02:33:04
232,233,213,"Cutter, Patrick (USA)",10185,30-34,01:16:31,02:33:08
233,234,214,"Malloy, Christopher (USA)",645,40-44,01:15:56,02:33:08
234,235,215,"Dombi, Zachary (USA)",505,25-29,01:15:15,02:33:10
235,236,216,"Jongh, Robert (NED)",25357,50-54,01:16:42,02:33:10
236,237,217,"Dirdal, Oddvar (NOR)",25362,40-44,01:17:04,02:33:17
237,238,218,"Marban, Albert (USA)",8059,30-34,01:16:45,02:33:18
238,239,219,"Ferrari, Diego (BRA)",2035,35-39,01:15:25,02:33:18
239,240,220,"Hohlman, Robert (USA)",582,25-29,01:15:46,02:33:18
240,241,221,"Montoya, Alvaro (CHI)",678,40-44,01:15:32,02:33:20
241,242,222,"Mercer, Dickson (USA)",22154,40-44,01:16:03,02:33:21
242,243,223,"Monta, Juan Carlos (ESP)",5039,45-49,01:14:56,02:33:26
243,244,224,"MacIntyre, Thomas (GBR)",5180,30-34,01:14:53,02:33:26
244,245,225,"Zilio, Cesare (ITA)",3159,30-34,01:14:54,02:33:28
245,246,226,"Santos, Leoander (BRA)",23238,30-34,01:14:59,02:33:29
246,247,227,"Perez, Juan (USA)",9198,25-29,01:15:18,02:33:32
247,248,228,"VanGampleare, Sam (USA)",9076,25-29,01:15:48,02:33:33
248,249,229,"Hebda, Phil (USA)",568,35-39,01:15:04,02:33:36
249,250,230,"Neville, Jonathan (GBR)",5187,30-34,01:15:24,02:33:41
250,251,231,"Kenny, Ryan (USA)",6174,40-44,01:17:43,02:33:42
251,252,232,"Lee, Jacob (USA)",8132,25-29,01:17:06,02:33:42
252,253,233,"Chan, Pui Yuk (HKG)",3112,30-34,–,02:33:42
253,254,234,"Whitelaw, Austin (USA)",805,30-34,01:13:10,02:33:44
254,255,235,"Ritter, Steve (USA)",19065,20-24,01:17:43,02:33:44
255,256,236,"Hamed, Ahmed (USA)",1094,25-29,01:14:31,02:33:45
256,257,237,"Tanaka, Koji (JPN)",25287,45-49,01:15:49,02:33:45
257,258,238,"Banfield, Aidan (GBR)",1004,20-24,01:14:31,02:33:53
258,259,239,"Kunze, Jarrett (USA)",18193,30-34,01:15:51,02:33:54
259,260,240,"Kahlefeldt, Jared (AUS)",1156,35-39,01:16:19,02:33:58
260,261,241,"Broxup, Timothy (AUS)",1153,35-39,01:17:17,02:33:59
261,262,242,"Jardim, Jackson (VEN)",21029,40-44,01:17:09,02:33:59
262,263,243,"Salas, Daniel (USA)",18160,25-29,01:13:04,02:34:06
263,264,244,"Doughty, Josh (USA)",1018,20-24,01:16:31,02:34:06
264,265,245,"Quist, Pim (NED)",21011,40-44,01:15:35,02:34:06
265,266,246,"Riggs, James (GBR)",18157,30-34,01:17:06,02:34:08
266,267,247,"Coffin, Wade (USA)",7117,30-34,01:16:54,02:34:11
267,268,248,"Litowitz, Jack (USA)",10112,25-29,01:17:02,02:34:11
268,269,249,"Matte Jr, Frank (USA)",19165,30-34,01:15:49,02:34:18
269,270,250,"Araya Ruiz, Kenneth (CRC)",3010,25-29,01:16:55,02:34:21
270,271,251,"Smiley, Dylan (USA)",762,25-29,01:14:06,02:34:23
271,272,252,"Mascaro, Ferran (ESP)",25411,50-54,01:17:06,02:34:23
272,273,21,"Smith, Mimi (USA)",766,25-29,01:16:01,02:34:24
273,274,253,"Hadari, Dan (ISR)",25229,45-49,01:17:53,02:34:28
274,275,22,"Nukuri, Diane (USA)",121,35-39,01:14:02,02:34:29
275,276,254,"Schwartz, Jacob (USA)",19043,25-29,01:16:01,02:34:29
276,277,255,"Smith, Paul (IRL)",25212,45-49,01:15:46,02:34:30
277,278,256,"Napier-Jameson, Matthew (RSA)",9026,30-34,01:16:06,02:34:33
278,279,257,"Joudrey, Edward (GBR)",5177,35-39,01:17:05,02:34:33
279,280,258,"Sunvold, Daniel (USA)",10025,25-29,01:16:51,02:34:34
280,281,259,"Meyer, Jacob (USA)",19103,25-29,01:15:24,02:34:34
281,282,260,"Beckerman, Alex (USA)",9134,20-24,01:14:52,02:34:37
282,283,261,"Folch, Tomas (CHI)",7002,45-49,01:16:05,02:34:40
283,284,262,"Sinclair, Ewan (NZL)",22006,40-44,01:15:53,02:34:41
284,285,263,"Duffy, Ryan (USA)",7126,30-34,01:17:23,02:34:41
285,286,264,"Paredes Cartes, Nicolas Ignacio (CHI)",2168,30-34,01:15:10,02:34:42
286,287,265,"Madden, Charles (USA)",18179,30-34,01:17:41,02:34:42
287,288,266,"Royer, Dominic (CAN)",2081,35-39,01:16:41,02:34:42
288,289,267,"Lima, Thiago (BRA)",2038,35-39,01:17:01,02:34:43
289,290,268,"Victor Baldin, Lucas (MEX)",21025,30-34,01:18:12,02:34:44
290,291,269,"Yoder, John (USA)",19056,35-39,01:15:53,02:34:44
291,292,270,"Dawson, Cody (USA)",9094,30-34,01:14:27,02:34:45
292,293,271,"Ingram, Christopher (GBR)",5106,35-39,01:16:34,02:34:45
293,294,272,"Ferrer, Miguel (ESP)",25415,45-49,01:13:30,02:34:47
294,295,273,"Tarbell, Kody (USA)",18061,30-34,01:18:54,02:34:48
295,296,274,"Palumbo, Corey (USA)",8103,25-29,01:16:52,02:34:49
296,297,275,"Rolon, Guillermo (MEX)",18008,45-49,01:13:31,02:34:51
297,298,276,"Liepins, Kristaps (LAT)",3134,25-29,01:17:33,02:34:54
298,299,277,"Teter, Joey (USA)",777,30-34,01:16:23,02:34:56
299,300,278,"Foley, Vivian (IRL)",25211,50-54,01:16:59,02:34:57
300,301,279,"Rohan, Carson (USA)",8047,20-24,01:18:44,02:34:57
301,302,280,"Balaban, Brad (USA)",22165,45-49,01:17:41,02:34:57
302,303,281,"Calcagno, Emerson (BRA)",22903,30-34,01:12:53,02:35:00
303,304,282,"Guyer, Mark (USA)",22003,40-44,01:16:36,02:35:04
304,305,283,"Mujezinovic, Ermin (USA)",10125,35-39,01:17:49,02:35:12
305,306,284,"De Vivo, Paolo (ITA)",7124,30-34,01:17:00,02:35:15
306,307,285,"Hogan, Peter (USA)",7003,25-29,01:11:47,02:35:15
307,308,286,"Davis, Conrad (USA)",21033,20-24,01:16:27,02:35:20
308,309,287,"Spitz, Luke (USA)",9137,25-29,01:16:42,02:35:21
309,310,288,"Barbe, Hernan (ARG)",1120,30-34,01:16:42,02:35:22
310,311,289,"Clark, Gregory (USA)",10083,30-34,01:18:02,02:35:23
311,312,290,"Flynn, Brian (USA)",20125,40-44,–,02:35:25
312,313,291,"Torrealba, Cristobal (CHI)",25123,45-49,01:17:06,02:35:25
313,314,292,"Wetzel, Evan (USA)",9167,25-29,01:18:22,02:35:27
314,315,293,"Copeland, Christopher (USA)",10176,30-34,01:17:28,02:35:31
315,316,294,"Hanson, Benjamin (USA)",559,25-29,01:13:10,02:35:35
316,317,23,"Bowes, Hailey (USA)",865,20-24,01:16:02,02:35:36
317,318,295,"Spellman, John (USA)",9148,30-34,01:15:02,02:35:36
318,319,296,"Wada, Ryuta (JPN)",7004,35-39,01:17:03,02:35:37
319,320,297,"Kadrov, Zhanbulat (KAZ)",604,50-54,01:18:10,02:35:37
320,321,298,"A Fiske, Justin (USA)",8092,35-39,01:16:01,02:35:38
321,322,299,"Guay, Marc-Antoine (CAN)",2104,30-34,01:17:38,02:35:40
322,323,300,"Carreira, Mario (POR)",25392,55-59,01:17:01,02:35:40
323,324,301,"Szeliga, Richard (USA)",9014,30-34,01:16:06,02:35:41
324,325,302,"Bailey, Martin (CAN)",2098,35-39,01:19:23,02:35:41
325,326,303,"Dickson-Bell, Arthur (GBR)",5167,25-29,01:18:49,02:35:44
326,327,304,"Rolly, Philippe (USA)",22060,50-54,01:17:11,02:35:45
327,328,305,"Chege, Sam (USA)",8108,35-39,01:18:00,02:35:46
328,329,24,"Hatch, Billie (USA)",564,20-24,01:16:39,02:35:47
329,330,306,"Macdonald, Iain (GBR)",6017,35-39,01:18:39,02:35:47
330,331,307,"Karten, Dylan (USA)",7019,30-34,01:18:25,02:35:47
331,332,308,"Renyard, Jack (GBR)",3097,30-34,01:17:30,02:35:48
332,333,309,"Apinis, Alfreds (LAT)",4002,20-24,01:17:35,02:35:48
333,334,310,"Schupper, Alex (USA)",10132,30-34,01:17:50,02:35:52
334,335,311,"Tay, Ben (AUS)",1150,30-34,01:17:44,02:35:54
335,336,312,"Shumaker, Glen (USA)",6190,25-29,01:16:39,02:35:54
336,337,313,"Engel, Patrick (USA)",10091,25-29,01:18:26,02:35:55
337,338,25,"Fluehr, Kathryn (USA)",525,30-34,01:17:42,02:35:56
338,339,314,"Cochrane, Stephen (IRL)",6027,35-39,01:17:39,02:36:01
339,340,315,"Jutras, Brett (USA)",8102,25-29,01:15:40,02:36:02
340,341,316,"Venegas, Federico (CRC)",3004,30-34,01:17:46,02:36:02
341,342,317,"Wint, Albert (USA)",811,40-44,01:17:42,02:36:03
342,343,318,"Sanders, Nathan (USA)",8061,20-24,01:16:49,02:36:04
343,344,319,"Li, Guo Quan (CHN)",2183,30-34,01:13:46,02:36:04
344,345,320,"Reynolds, Baden (AUS)",1127,50-54,01:17:50,02:36:06
345,346,321,"Guerrero, Jose (VEN)",1306,35-39,01:15:56,02:36:07
346,347,322,"McEneaney, James (USA)",664,20-24,01:17:42,02:36:07
347,348,26,"Romero, Britney (USA)",738,30-34,01:17:42,02:36:07
348,349,323,"Herrera, Andres (USA)",7145,25-29,01:19:03,02:36:07
